global_id,camera_id,frame_idx,timestamp_iso,x1,y1,x2,y2,confidence
4,cam0,727,2025-11-13T05:32:35.240098+00:00,259,17,429,404,1.0
7,cam0,727,2025-11-13T05:32:35.240098+00:00,770,8,955,488,1.0
11,cam0,747,2025-11-13T05:32:35.966109+00:00,625,108,888,645,1.0
2,cam0,747,2025-11-13T05:32:35.966109+00:00,712,0,780,111,1.0
3,cam0,747,2025-11-13T05:32:35.966109+00:00,177,20,384,434,1.0
9,cam0,747,2025-11-13T05:32:35.966109+00:00,779,8,959,485,1.0
1,cam1,686,2025-11-13T05:32:35.948718+00:00,815,18,915,298,1.0
11,cam1,686,2025-11-13T05:32:35.948718+00:00,719,87,924,555,1.0
2,cam1,607,2025-11-13T05:32:33.461752+00:00,479,31,601,410,1.0
9,cam1,686,2025-11-13T05:32:35.948718+00:00,1006,70,1164,416,1.0
12,cam1,686,2025-11-13T05:32:35.948718+00:00,105,27,308,380,1.0
11,cam0,758,2025-11-13T05:32:36.937578+00:00,557,104,778,646,1.0
9,cam0,758,2025-11-13T05:32:36.937578+00:00,716,0,836,269,1.0
2,cam0,758,2025-11-13T05:32:36.937578+00:00,173,32,381,486,1.0
12,cam0,758,2025-11-13T05:32:36.937578+00:00,770,7,958,488,1.0
